parcelID,lat,lng,numFires,numCrimes,numViols,meanSales
0049F00022000000,40.46892185429148,-79.961493479934,7,12,11,318469.2450980392
0174B00241000000,40.460121663748254,-79.89169933603353,24,12,23,38169.63636363636
0002D00182000001,40.44150276303031,-79.98601661737757,17,14,5,1949335.5263157894
0041F00270000000,40.448429153403936,-80.05900602590155,3,2,4,102895.0
0096K00078000000,40.388998079812346,-80.01167294651299,3,10,5,137125.07692307694
0007C00058000000,40.452025482793225,-80.0205940461316,6,13,10,488318.8780487805
0086M00049000000,40.437206586949806,-79.91733636823241,4,6,5,619086.3913043478
0014P00210000000,40.41448079930565,-79.99356883113957,22,15,21,31248.967213114753
0014L00311000A00,40.416485950884216,-79.98776146242736,13,15,20,89010.92753623189
0023F00124000000,40.45878592345715,-80.01141370593433,13,27,14,579670.6161616162
0126R00052000000,40.4452826919463,-79.90682606066792,1,2,2,421564.347826087
0011J00076000B00,40.43788553606973,-79.98243384002107,13,16,7,421018.0714285714
0095A00158000000,40.394135746148095,-79.9980109528484,3,6,5,114779.33333333333
0051S00358000000,40.45305773197328,-79.93660084781321,5,9,5,620446.2711864407
0008A00145000000,40.451211968249005,-80.01413688810321,15,5,4,616719.0476190476
0125A00098000000,40.460354446472,-79.91301917320912,13,7,12,65844.03225806452
0120K00082000000,40.484469171563696,-79.94182738289999,7,0,1,180692.52380952382
0094B00175000000,40.39280136016204,-79.9769693355622,1,0,0,180181.14285714287
0010G00213000000,40.44869117793343,-79.97329449072019,11,15,16,130124.10714285714
0087R00274000000,40.425645711232725,-79.92447883295593,10,6,9,265413.15789473685
0042P00301000000,40.45395272353484,-80.05895212305931,8,10,9,77105.53125
0125K00044000000,40.455595498031,-79.90924732835548,6,7,4,390397.7083333333
0042J00227000000,40.45517339082704,-80.06512757559874,6,10,6,84378.58064516129
0075S00229000000,40.474308119062314,-80.03312891221452,17,12,10,63444.09433962264
0029S00029000000,40.42559396657784,-79.9514544416365,6,1,4,115713.75
0022S00106000000,40.453395989819214,-80.01721750699853,13,18,7,736151.5
0001D00259C72100,40.44054050680597,-79.99944756454978,20,42,15,1220175.08
0128N00185000000,40.42562770738248,-79.91513313173064,2,0,3,487500.0
0032E00043000000,40.411039628677486,-79.98058757534548,2,4,7,218653.2142857143
0026S00194000000,40.453147652940245,-79.9505205202087,3,14,2,564980.1470588235
0033B00071000000,40.41345797863247,-79.99116116352626,19,15,21,55868.55882352941
0039D00330000000,40.43184348518683,-80.05322135736027,3,6,8,120033.96428571429
0075F00050000000,40.478539468252485,-80.04231825398846,3,5,3,113311.95652173914
0077N00224000000,40.47248090052056,-80.01304784034086,4,5,9,61528.645161290326
0108S00200000000,40.453447514268895,-80.08556807712729,0,0,0,
0010P00001000000,40.445365083122894,-79.97861611639901,21,19,8,512633.5714285714
0086P00150081100,40.43319390979874,-79.92641171945027,16,7,4,394525.92452830187
0056N00161000000,40.40518758161564,-79.946676663683,11,3,8,119439.91304347826
0071S00118000000,40.452906278206406,-80.07010848914126,5,4,1,120443.04761904762
0039M00134000000,40.42715474853724,-80.04960869315958,1,2,0,171600.0
0028N00070000000,40.43476387167729,-79.96297889399112,8,7,6,680259.6470588235
0080K00058000000,40.47643187710104,-79.95944180290846,3,5,8,337298.8888888889
0123E00066000000,40.47784443629278,-79.91556748711746,3,1,1,443178.46153846156
0040D00291000000,40.441341183478,-80.04950506656462,3,2,3,88747.875
0020A00040000000,40.45249484405509,-80.0477764906798,6,5,9,208887.33333333334
0070D00290000000,40.45133324744892,-80.07008881643233,3,3,1,136900.23529411765
0056R00053000000,40.4059707933775,-79.94064565189825,10,7,16,162154.25490196078
0051J00229000000,40.457452217183835,-79.94689389821107,2,7,6,327137.47222222225
0175D00251000000,40.45067611585147,-79.88363508661459,7,5,10,24915.78947368421
0071E00179000000,40.45849622521012,-80.08129316305627,2,2,1,103094.18181818182
0088L00086000000,40.41820963409186,-79.92105330352193,3,2,0,473907.4074074074
0083R00065000600,40.46409956578054,-79.92086504123627,11,14,4,517115.60714285716
0085E00260000000,40.448262862840735,-79.93030114072022,3,3,9,598176.4363636364
0094B00179000000,40.392602361128695,-79.97659064931365,1,0,0,194992.0
0084A00037000000,40.46119822990983,-79.93243575396728,5,19,9,544988.78125
0015M00216000000,40.41681225785046,-80.0035835812335,15,6,14,32043.53488372093
0174P00176000000,40.45398978872663,-79.893869110269,26,25,20,31366.882352941175
0003G00136000000,40.429238093868314,-79.98729703981039,10,34,13,253398.97959183675
0087S00235000000,40.424771531288776,-79.91652353957966,1,0,2,475581.0416666667
0084G00276000000,40.457842908784805,-79.92083394797646,6,10,2,470974.30555555556
0173F00163000000,40.46891009043913,-79.89336338514147,6,8,17,29264.32
0124P00289000000,40.46264551163733,-79.91020760676692,16,9,11,68882.32352941176
0014A00306000000,40.42288076857183,-79.99570322356118,19,20,21,98336.69230769231
0004S00047000000,40.42584540643227,-79.9997929284673,11,11,13,310525.93670886074
0003J00124000000,40.4263927530896,-79.99923252618733,10,10,10,522583.86486486485
0096K00347000000,40.38798958904859,-80.008054030864,2,5,2,161815.12
0028G00178000000,40.439455383289165,-79.9558283979783,13,11,12,995296.9230769231
0173K00093000000,40.46678131411091,-79.89406646374283,10,7,18,25298.083333333332
0035K00242000000,40.40726718988969,-80.02542295170262,7,9,9,117481.09615384616
0039E00038000000,40.42871633999645,-80.06526870132731,1,2,4,77022.18181818182
0095H00061000000,40.391036830440825,-79.98691221578049,9,16,9,88481.025
0052E00257000700,40.44784039406656,-79.94741917495136,10,8,4,387302.7704918033
0084P00182060200,40.45470008852046,-79.92557028415175,6,5,10,373732.16071428574
0041K00222000000,40.44625629142571,-80.06018331648006,1,2,1,102072.26315789473
0004E00009000000,40.430612107897936,-80.01504299195464,5,3,11,207498.81632653062
0034G00015000000,40.40911670186252,-80.0069743004454,1,2,0,143458.33333333334
0002D00311000000,40.441216728145605,-79.98326230723629,14,19,6,1639577.6956521738
0006M00312A20000,40.43818507257928,-80.01977727955367,6,5,2,342860.8245614035
0010H00253000000,40.448179819112255,-79.9667424428697,5,5,12,67894.125
0095R00064000000,40.38608652535677,-79.99090470875376,4,5,3,84310.44186046511
0004F00029000000,40.429930484588446,-80.01118954965801,10,11,16,366525.67741935485
0085N00012000000,40.44533144717156,-79.93204406956562,2,1,3,564030.6052631579
0003S00123000000,40.42517384201406,-79.98567071508192,10,36,17,187257.6447368421
0051M00236000000,40.455261729698336,-79.93600324743795,7,13,6,452656.5714285714
0003M00364000000,40.42647219038062,-79.98671161642329,11,37,16,209108.53125
0084K00018000000,40.45720621747115,-79.92791915271081,4,7,9,415936.86363636365
0097G00200000000,40.38965750075002,-80.02189925600656,2,4,7,116547.34285714285
0060K00278000000,40.399156332007024,-79.99126681011201,10,14,10,82962.58536585367
0029C00270002100,40.43203577754619,-79.95456772414681,5,4,9,198401.9024390244
0010L00078000A00,40.446308948974426,-79.97423205415117,11,16,13,144711.39130434784
0232B00277000000,40.45256951264702,-79.87571715933875,10,3,5,100503.54545454546
0050E00103000000,40.4681344755027,-79.94650145978582,6,8,10,144634.4375
0023B00242000000,40.46238668423534,-80.00803696112838,12,8,10,139266.68181818182
0051G00012000000,40.45945475596872,-79.94108009013074,5,8,4,412891.26086956525
0036C00018000000,40.41171492342128,-80.03983161277039,1,0,2,182622.5
0060L00108000000,40.39710200804524,-79.99008937691895,11,17,9,90218.77777777778
0088D00271000000,40.423313812324565,-79.92032256227469,2,2,2,364677.5
0035F00231000000,40.41036762904129,-80.02537131671833,10,10,10,102053.14545454546
0175K00214000200,40.44549491224796,-79.89420569787872,5,9,3,378633.36842105264
0015M00205000000,40.417160598334576,-80.00292507439443,15,6,15,25204.422222222223
0062M00203000000,40.39694802937535,-80.0188583960171,8,6,3,131653.75510204083
0051D00177000000,40.46209912101136,-79.9345633368703,5,19,11,430384.0487804878
0013P00086000000,40.4149280366608,-79.97528343655686,6,11,12,86016.325
